trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9851119396030626}",30,5,-94.3186060040011,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-100.11034777593105,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9559974818331}",20,0,-139.44369376949655,"{0: 7, 1: 4, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-63.200440354013665,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9277434863285529}",25,0,-79.30049287600383,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-124.77225973394937,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9003245225862656}",20,0,-140.18713127544842,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.8869204367171575}",30,0,-200.11676519679793,"{0: 13, 1: 5, 2: 9, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.8737159116880344}",30,17,-40.90706611864095,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-119.26388605723697,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8478937040879159}",20,0,-94.20217194279232,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-108.60337346322815,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8228346580560184}",20,0,-134.05798878859767,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-34.17077732034579,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.7985162187593771}",20,6,-80.78965301321387,"{0: 6, 1: 2, 2: 4, 3: 2, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-62.103726595465915,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.774916497961081}",25,15,-27.009864159045936,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.7633794943368531}",35,0,-132.38789626493607,"{0: 24, 1: 2, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.7520142543193826}",20,7,-15.113605158823677,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-17.435926988321057,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.7297888742690568}",35,21,-19.522799120368525,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,0,-46.27999264639575,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7082203534678}",30,9,-47.89958739070875,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.697676326071031}",25,0,-43.156935325453965,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.6872892787909722}",25,20,12.17880781115939,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,0,-20.014864868542045,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.6669768108584744}",20,0,-22.2568736596877,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.6570468198150567}",30,0,-111.5865768037497,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.6472646670780347}",20,4,-41.28240233520912,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,0,-25.88518613857846,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.6281351051896409}",25,0,-15.465316819734404,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.6187833918061408}",30,14,-5.082082560955147,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.6095709072963093}",25,3,-31.127955503996738,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,6,10.79610264883892,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.5915553643668151}",20,0,-32.07586409939353,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.5827482523739896}",30,8,14.361892378421556,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.5740722611964361}",25,2,-12.131928241428547,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.5655254386995371}",25,0,-50.90558468183257,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.5571058618121739}",30,0,-81.20011135384004,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",1
40,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,0,-77.42962445898829,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.5406408953093166}",20,0,-134.82305199391433,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
42,False,"{'a': 0.5, 'e': 0.5325918010068972}",25,15,-1.4656303638396568,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.5246625421065929}",20,9,-29.890828772031835,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.5168513344916993}",20,4,-38.44722815863573,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.5091564206075492}",30,4,-43.67399567361347,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.5015760690660556}",20,0,-13.094665970477255,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.4941085742561417}",25,0,-119.03409446191193,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.4867522559599717}",25,11,-6.951553063118554,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.4795054589748941}",20,4,-24.276524920302343,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.4723665527410147}",20,7,10.796469722355752,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.4653339309743134}",20,8,-3.1667218499661676,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.4584060113052235}",25,4,-1.425181932541615,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.4515812349225923}",30,20,-9.442989278712139,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.44485806622294116}",25,3,-96.91048043323039,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 2}",1
55,False,"{'a': 0.5, 'e': 0.43823499246494924}",20,14,9.256625980190641,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,8,18.144329298162425,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.42528319108227414}",35,23,-40.364085290448216,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.418951549247639}",20,14,-11.442077982045117,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.4127141732790497}",20,14,13.207001174749943,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.40656965974059917}",25,12,-0.7295252536412922,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.40051662609081884}",25,2,14.116618396341721,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.39455371037160114}",20,10,-33.80080333985474,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.38867957090175304}",25,11,16.221215781128436,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.38289288597511206}",25,16,8.839156830593177,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.37719235356315695}",35,21,25.931795930978364,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,4,-30.374584802955006,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.3660446348040154}",20,12,-28.625285097133457,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.3605949401730783}",25,0,-7.134428002753677,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.3552263809249515}",25,13,-17.50353280867891,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.3499377491111553}",25,0,-63.367017443332664,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",1
71,False,"{'a': 0.5, 'e': 0.3447278547672202}",25,16,7.193787130105728,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.3395955256449391}",25,14,-32.84900244236311,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.3345396069486076}",25,18,0.6103939685701771,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.3295589610751891}",20,5,8.243288404999117,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.32465246735834974}",20,0,-45.632516944722695,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.31981902181630395}",20,7,-26.2921653107162,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.3150575369034133}",30,13,25.032824256989038,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.31036694126548503}",30,2,-17.092087628863503,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.30574617949871175}",30,24,11.398433050129873,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.30119421191220214}",30,18,-37.11012633169943,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.2967100142940453}",20,0,-47.31015815432577,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.2922925776808594}",20,0,-33.5947860795715,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.2879409081307703}",30,10,26.19372743565255,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.2836540264997704}",30,23,12.688791535946335,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.27943096822140734}",20,15,9.587934714378182,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.27527078308975234}",25,8,-34.26883501767106,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.2711725350455999}",20,5,-69.07424233816263,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
88,False,"{'a': 0.5, 'e': 0.2671353019658504}",20,0,-33.99181794758092,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.2631581754560287}",30,0,-0.21550988385819847,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.25924026064589156}",20,13,11.554151711473285,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.2553806759880777}",25,8,10.302780510611978,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.2515785530597565}",30,16,-28.04634217599869,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.24783303636722875}",20,6,3.0190527596782633,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,11,16.289313564531646,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.24050846320834213}",20,10,18.097765277599144,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.23692775868212176}",35,22,12.792311484690158,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.23340036390115138}",25,6,22.842221499690087,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.22992548518672384}",30,18,-31.298351908696237,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.2265023406764688}",20,12,15.809158192380096,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.22313016014842982}",30,12,11.68326310323826,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.21980818484776174}",25,20,7.652646900790406,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.21653566731600707}",25,17,16.389248323457522,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.21331187122291523}",20,2,20.293877806840147,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,7,22.701837831316304,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.20700755268115265}",25,0,16.522705321990777,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.20392561173421347}",30,20,10.165700965450402,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.20088955491023208}",20,9,-1.6912760797828472,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.1978986990836147}",25,19,-0.24033593284693122,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.1949523712991825}",25,16,16.268163170503854,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.19204990862075413}",20,6,8.712045469919254,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.18919065798198204}",35,12,8.265993412559004,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.18637397603940997}",25,20,10.014125961998953,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.18359922902771791}",20,8,11.129492456891613,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.1808657926171221}",20,10,19.122440061031977,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.17817305177289844}",20,12,-33.781882192157184,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.17552040061699686}",25,11,27.166315640595354,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.1729072422917164}",25,8,2.7537937802223484,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.17033298882540943}",20,12,4.304869860962248,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.1677970610001859}",20,2,13.095418121453653,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.16529888822158656}",20,0,-108.87471459615304,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
121,False,"{'a': 0.5, 'e': 0.16283790839019696}",30,19,-6.476228544697971,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.1604135677751728}",20,0,-9.669277214124481,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.1580253208896478}",25,6,20.083409711480588,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.15567263036799733}",20,0,-10.273171479480194,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.15335496684492847}",25,6,14.922538893521512,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.15107180883637086}",30,23,16.227092885797692,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.14882264262214037}",25,17,13.23366243843535,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.14660696213035015}",25,18,11.932569050449912,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.144424268823542}",25,17,16.51749621961832,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.1422740715865136}",20,3,15.79705648829282,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.14015588661581538}",30,12,27.99685072528219,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.13806923731089282}",25,2,19.52101579571018,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.13601365416684918}",20,12,2.0273620850748246,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.13398867466880499}",25,5,12.84580527439994,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.13199384318783022}",20,6,23.541839744381633,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.1300287108784259}",20,10,16.081709364587216,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.12809283557753204}",30,19,21.343051950632635,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.12618578170503877}",25,18,15.60350875130611,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.12430712016577938}",30,14,27.501407990625776,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.1224564282529819}",30,16,22.374182536321594,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.12063328955315832}",20,9,9.471963905530178,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.11883729385240965}",35,21,15.411180716348689,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.11706803704412637}",20,13,12.280600371753641,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.11532512103806251}",20,16,9.908476106985187,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.11360815367076377}",30,8,35.20393924905739,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.11191674861732888}",20,12,13.967113272887266,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.11025052530448522}",20,12,14.789156591101325,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.10860910882495801}",30,18,19.928388562563217,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.10699212985311449}",20,0,7.8324147037531,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.10539922456186433}",20,12,1.078709387677752,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.10383003454079692}",20,9,4.963099052357865,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.10228420671553748}",25,4,27.5488074038838,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.10076139326830373}",25,15,19.9896502093522,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.09926125155964566}",30,14,16.53045414228792,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.09778344405135009}",20,9,15.815610925758577,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.09632763823049303}",20,9,19.096374395110658,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.09489350653462311}",30,15,14.434727438234598,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.09348072627805847}",25,18,12.079339630274212,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.0920889795792812}",25,17,15.400705431892948,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.09071795328941251}",20,12,3.303978288117426,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.08936733892175319}",20,16,7.7904424012825455,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.08803683258237259}",30,24,9.41976375871842,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.08672613490173114}",25,11,25.64949946854425,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
