trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.8834590043794,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.82971842189541,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-195.25674493931706,"{0: 14, 1: 5, 2: 7, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-159.2707433280624,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.76403786541276,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.077315162932045,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.7644249347956,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.6371035432115,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.45524876429232,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.19910019813196,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-205.03824218408036,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,6,-57.71323393797414,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-43.711827468406504,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.28397184674964,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.66003869782982,"{0: 8, 1: 7, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.2375448826999,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,11,-226.00197919391456,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 5}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,15,-48.953969289401535,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-255.08381738069284,"{0: 7, 1: 3, 2: 5, 3: 0, 4: 5}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.73048915857593,"{0: 14, 1: 7, 2: 2, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-156.29666083641513,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-43.97671695464111,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.68854660174935,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-166.62735466084,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.05560982290267,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.81899959712186,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-169.9886097792206,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-89.89564257591162,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.55219336882728,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.87757662617094,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
